period,oil_price,oil_prod,gs_impo,gs_exp,gs_imp_cvm,gs_exp_cvm,g_imp,g_exp,g_imp_cvm,g_exp_cvm,ind_prod,cpi_index,epu
1974-01-01,9.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-02-01,12.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-03-01,12.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-04-01,12.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-05-01,13.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-06-01,13.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-07-01,12.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-08-01,12.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-09-01,12.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-10-01,12.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-11-01,12.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-12-01,12.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-01-01,12.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.2549349574429,NA,NA
1975-02-01,13.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8097702267755,NA,NA
1975-03-01,13.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6729768935062,NA,NA
1975-04-01,13.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3769627798707,NA,NA
1975-05-01,13.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3047477295519,NA,NA
1975-06-01,14.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5068838627333,NA,NA
1975-07-01,14.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5551911779584,NA,NA
1975-08-01,14.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.9843563277908,NA,NA
1975-09-01,14.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1473184953982,NA,NA
1975-10-01,14.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4975289244024,NA,NA
1975-11-01,15.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.6733139379554,NA,NA
1975-12-01,14.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1395395871537,NA,NA
1976-01-01,13.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6644613679346,NA,NA
1976-02-01,13.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1192949925107,NA,NA
1976-03-01,13.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.3811036069235,NA,NA
1976-04-01,13.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8270394314995,NA,NA
1976-05-01,13.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2295784218116,NA,NA
